ModuleName,DisplayName,NameTemplate
eap-sic-AMX-Sintering,AMX银烧结
eap-sic-Quick-Sintering,快克银烧结
eap-sic-HB-VerticalReflow,浩宝氮气垂直炉
eap-sic-JT-VerticalReflow,劲拓垂直炉
eap-sic-JT-SPI,SPI
eap-sic-Desen-Printing,印刷机
eap-sic-Desen-SolderDispensing,自动点锡机
eap-sic-Jutze-3D-AOI,矩子3D-AOI
eap-sic-Mirtec-AOI,美陆AOI
eap-sic-HIKRAYIN-3D-XRay,3D-X-RAY
eap-sic-KRE-Sintering-NG-Unloader,银烧结NG抓取装置
eap-sic-KRE-HotBonder-CarrierChanger,印刷载盘切换机
eap-sic-KRE-3D-X-Ray-NG-Unloader,3D-X-RAY-NG下料机
eap-sic-KRE-Sintering-CarrierChanger,烧结载盘切换机
eap-sic-KRE-Welding-CarrierChanger,一次焊接载盘切换机
eap-sic-KRE-WeldAssy,二次焊接组装机
eap-sic-KRE-WeldDisassy,二次焊接拆卸机
eap-sic-KRE-Gluing-CarrierChanger,灌胶载盘切换机
eap-sic-KRE-CoverAssy,上盖组装
eap-sic-KRE-DBC-Loader,DBC上料机
eap-sic-KRE-AirBlower,键合吹扫
eap-sic-KRE-Screw,外壳组装-打螺丝机
eap-sic-KRE-ShellAssy,外壳组装-双工位点胶机
eap-sic-KRE-FirstTest,初测机
eap-sic-KRE-FinalTester,终测机
eap-sic-SBT-TermWelding,端子超声焊
eap-sic-SBT-PinWelding,PIN超声焊
eap-sic-SharpTop-Gluing,灌胶机
eap-sic-SMTK-FormicReflow,甲酸炉
eap-sic-SiliCool-HotBonder,热贴机
eap-sic-CJ-WireBonder,全自动键合机,{DisplayName}_{Type}{No}
